disease,symptom,count,values
Annular erythema,Familial annular erythema,30,0
"Simple partial seizure, consciousness not impaired",Seizure,1690,1
"Simple partial seizure, consciousness not impaired",Partial seizure,220,0
Motor cortex epilepsy,Seizure,1690,1
Cycloplegia,Internal ophthalmoplegia,30,0
Disorder of vein,Distended umbilical veins,10,0
Respiratory tract hemorrhage disorder,Blood streaked sputum,20,0
Neonatal diarrhea,Diarrhea symptom,390,1
Neonatal diarrhea,Loose stool,390,1
Ocular-mucous membrane syndrome,Erythema of skin,890,1
Ocular-mucous membrane syndrome,Erythematous condition,890,1
Gastric polyp,Mass of digestive structure,220,0
Gastric polyposis,Mass of digestive structure,220,0
Application site disorder,Application site anesthesia,10,0
Lennox-Gastaut syndrome disorder,Seizure,1690,1
Juvenile myxedema,Hard edema,50,0
Polyp of larynx,Mass of respiratory structure,110,1
Spasm of back muscles,Spasm finding,100,1
Autonomic facial cephalgia,Headache finding,590,1
Carotidynia,Headache finding,590,1
Autonomic facial cephalgia,Pain finding,1360,1
Carotidynia,Pain finding,1360,1
Liver mass,Mass of digestive structure,220,0
Induration of skin,Changes in skin texture,20,0
Endometriosis of pelvis,Pain finding,1360,1
Angiomatosis of retina,Mass of eye structure,70,1
Angiomatosis of retina,Swelling of structure of eye,70,0
Color vision deficiency,Visual alteration,90,0
Congenital disease,"Extensive congenital erosions, vesicles and reticulate scarring",30,0
Retinal edema,Localized retinal edema,10,0
Retinal edema,Peripheral retinal edema,10,0
Disorder of auditory system,Leudets tinnitus,20,0
Auditory dysfunction,Leudets tinnitus,20,0
Hearing disorder,Leudets tinnitus,20,0
Histologic type of inflammatory skin disorder,Trypanosomal chancre,40,0
Diffuse dermatitis,Diffuse inflammation,110,0
Abscess of umbilicus,Disorder of umbilicus,120,0
Cellulitis of umbilicus,Disorder of umbilicus,120,0
Acute lymphangitis of umbilicus,Disorder of umbilicus,120,0
Juvenile pyoderma,Pustular rash morphologic abnormality,70,0
Bacterid,Pustular rash morphologic abnormality,70,0
Pustular bacterid,Pustular rash morphologic abnormality,70,0
"Erythema multiforme, dermal type",Erythema of skin,890,1
"Erythema multiforme, dermal type",Erythematous condition,890,1
"Erythema multiforme, mixed dermal-epidermal type",Erythema of skin,890,1
"Erythema multiforme, mixed dermal-epidermal type",Erythematous condition,890,1
"Erythema multiforme, epidermal type",Erythema of skin,890,1
"Erythema multiforme, epidermal type",Erythematous condition,890,1
Erythema iris,Erythema of skin,890,1
Erythema iris,Erythematous condition,890,1
Herpes iris,Erythema of skin,890,1
Herpes iris,Erythematous condition,890,1
Immunologic urticaria,Immune complex urticaria,70,0
"Urticaria pigmentosa, maculopapular type",Macule morphologic abnormality,50,0
Pruritus senilis,Pruritus of skin,260,1
Pruritus senilis,Itching of skin,260,1
Pruritus senilis,Itch of skin,260,1
Pruritus senilis,Other specified pruritic conditions disorder,60,0
Prurigo simplex,Pruritus of skin,260,1
Prurigo simplex,Itching of skin,260,1
Prurigo simplex,Itch of skin,260,1
Prurigo nodularis disorder,Pruritus of skin,260,1
Prurigo nodularis disorder,Itching of skin,260,1
Prurigo nodularis disorder,Itch of skin,260,1
Erythema gyratum repens,Erythema of skin,890,1
Erythema gyratum repens,Erythematous condition,890,1
Erythema annulare centrifugum,Erythema of skin,890,1
Erythema annulare centrifugum,Erythematous condition,890,1
Erythema annulare centrifugum,Familial annular erythema,30,0
Erythema dyschromicum perstans,Erythema of skin,890,1
Erythema dyschromicum perstans,Erythematous condition,890,1
"Other specified erythematous condition, NEC",Erythema of skin,890,1
"Other specified erythematous condition, NEC",Erythematous condition,890,1
Erythema elevatum diutinum disorder,Erythema of skin,890,1
Erythema elevatum diutinum disorder,Erythematous condition,890,1
Ulerythema,Erythema of skin,890,1
Ulerythema,Erythematous condition,890,1
Ulerythema of cheeks,Erythema of skin,890,1
Ulerythema of cheeks,Erythematous condition,890,1
Granulosis rubra nasi,Erythema of skin,890,1
Granulosis rubra nasi,Erythematous condition,890,1
Erythromelanosis follicularis of face ANDOR neck,Erythema of skin,890,1
Erythromelanosis follicularis of face ANDOR neck,Erythematous condition,890,1
Chlorpromazine pigmentation,Drug pigmentation,70,0
Chrysoderma,Drug pigmentation,70,0
Hypertrophic condition of skin,Abnormal granulation tissue,30,0
Painful piezogenic pedal papules,Pain finding,1360,1
Painful pigmented pressure papules,Pain finding,1360,1
Surfers nodules,"DLocal superficial swelling, mass or lump NOS",30,0
Surfers nodules,"DLocal superficial swelling, mass or lump",30,0
Slap nodules of wrist,"DLocal superficial swelling, mass or lump NOS",30,0
Slap nodules of wrist,"DLocal superficial swelling, mass or lump",30,0
Pickers nodules,"DLocal superficial swelling, mass or lump NOS",30,0
Pickers nodules,"DLocal superficial swelling, mass or lump",30,0
Musculoskeletal and connective tissue disorder,Polyalgia,30,0
"Effusion of joint of other site, NEC",Painful swelling of joint,20,0
Snapping hip disorder,Other joint symptoms of the pelvic region and thigh or hip snapping or irritable hip,10,0
Lumbago-sciatica due to displacement of lumbar intervertebral disc,Pain finding,1360,1
Lumbago-sciatica due to displacement of lumbar intervertebral disc,Sciatica disorder,70,0
Grisels syndrome,Wry necktorticollis,50,1
Disorder of back,Ilioinguinal nerve neuralgia,70,1
Disorder of back,Genitofemoral nerve neuralgia,60,1
Putti-Chavany syndrome,Pain finding,1360,1
Putti-Chavany syndrome,Sciatica disorder,70,0
Ganglion of aponeurosis,Mass of musculoskeletal structure,100,0
Disorder of soft tissue,Arm claudication,10,0
Primary fibrositis,Pain finding,1360,1
Secondary fibrositis,Pain finding,1360,1
iphoidalgia syndrome,Pain finding,1360,1
Segmental dysfunction,Pain finding at anatomical site,10,0
Edema of nasopharynx,Edema of uvula,30,0
Cyst of pharynx,Mass of respiratory structure,110,1
Cyst of pharynx,Mass of digestive structure,220,0
Laryngeal hemiplegia,Hemiplegia disorder,110,0
Disorder of vocal cord,Aphonia paralytica,10,0
Grain-handlers disease,Diffuse inflammation,110,0
Diaphragmatic cyst,Mass of musculoskeletal structure,100,0
Adductor spastic dysphonia,Spastic dysphonia,40,0
Adductor spastic dysphonia of organic voice tremor,Dysphonia of organic tremor,20,0
Abductor spastic dysphonia,Spastic dysphonia,40,0
Neurologic voice disorder,Flaccid dysphonia,20,1
Neurologic voice disorder,Spastic pseudobulbar dysphonia,20,0
Neurologic voice disorder,Dysphonia of organic tremor,20,0
Mixed flaccid-spastic pseudobulbar dysphonia,Flaccid dysphonia,20,1
Mixed flaccid-spastic pseudobulbar dysphonia,Spastic pseudobulbar dysphonia,20,0
Dysphonia of palatopharyngolaryngeal myoclonus,Myoclonic disorder,290,1
Apraxic aphonia,Loss of voice,50,0
Apraxic aphonia,Other and unspecified symbolic dysfunctions,60,1
Apraxic aphonia,DOther symbolic dysfunction,60,0
Dysprosody of pseudoforeign dialect,DOther speech disturbance NOS,130,1
Dysprosody of pseudoforeign dialect,DOther speech disturbance,130,0
Vocal nodules in children,Mass of respiratory structure,110,1
Vocal nodules in adults,Mass of respiratory structure,110,1
"Angina, class I",Angina,230,1
"Angina, class I",Ischemic chest pain,230,1
"Angina, class I",Pain finding,1360,1
"Angina, class I",Other forms of angina pectoris,140,0
"Angina, class II",Angina,230,1
"Angina, class II",Ischemic chest pain,230,1
"Angina, class II",Pain finding,1360,1
"Angina, class II",Other forms of angina pectoris,140,0
"Angina, class III",Angina,230,1
"Angina, class III",Ischemic chest pain,230,1
"Angina, class III",Pain finding,1360,1
"Angina, class III",Other forms of angina pectoris,140,0
"Angina, class IV",Angina,230,1
"Angina, class IV",Ischemic chest pain,230,1
"Angina, class IV",Pain finding,1360,1
"Angina, class IV",Other forms of angina pectoris,140,0
Nocturnal angina,Angina,230,1
Nocturnal angina,Ischemic chest pain,230,1
Nocturnal angina,Pain finding,1360,1
Status anginosus,Angina,230,1
Status anginosus,Ischemic chest pain,230,1
Status anginosus,Pain finding,1360,1
Status anginosus,Other forms of angina pectoris,140,0
Syncope anginosa,Angina,230,1
Syncope anginosa,Ischemic chest pain,230,1
Syncope anginosa,Pain finding,1360,1
Syncope anginosa,Other forms of angina pectoris,140,0
Acute coronary insufficiency,Pain finding,1360,1
Conduction disorder of the heart disorder,Tic-tac rhythm,10,0
Cyanotic congenital heart disease disorder,Cyanosis of skin,60,1
Cyanotic congenital heart disease disorder,Central cyanosis disorder,20,0
Congenital aneurysm of aorta,Mass of trunk,40,0
Congenital koilonychia,Koilonychia,50,0
Globulo-maxillary cyst,Mass of digestive structure,220,0
Median palatal cyst,Mass of oral cavity,70,0
Naso-labial cyst,Mass of digestive structure,220,0
Endemic colic,Colicky pain,20,0
Gingival polyp,Mass of oral cavity,70,0
Disorder of oral soft tissues,Palatal myoclonus,50,1
Disorder of oral soft tissues,Edema of oral soft tissues,40,1
Disorder of oral soft tissues,Sublingual sialectasia,10,0
Lymphoepithelial cyst of mouth,Mass of digestive structure,220,0
Granuloma of lip,Mass of oral cavity,70,0
Nonulcer dyspepsia disorder,Indigestion symptoms,10,0
Nonulcer dyspepsia disorder,Indigestion symptom NOS,10,0
Habit vomiting disorder,Finding of vomiting,160,1
Habit vomiting disorder,Vomiting symptom,160,1
Habit vomiting disorder,Uncontrollable vomiting,30,0
Vomiting in infants ANDOR children,Finding of vomiting,160,1
Vomiting in infants ANDOR children,Vomiting symptom,160,1
Vomiting in infants ANDOR children,Vomiting in newborn,20,0
Drug-induced nausea and vomiting,Nausea and vomiting disorder,20,1
Drug-induced nausea and vomiting,Finding of vomiting,160,1
Drug-induced nausea and vomiting,Vomiting symptom,160,1
Drug-induced nausea and vomiting,DDrug-induced vomiting,10,0
Isolated idiopathic granuloma of stomach,Mass of digestive structure,220,0
Alimentary tract pain due to vascular insufficiency,Pain finding,1360,1
Non-infective diarrhea,Diarrhea symptom,390,1
Non-infective diarrhea,Loose stool,390,1
Allergic diarrhea,Diarrhea symptom,390,1
Allergic diarrhea,Loose stool,390,1
Dietetic diarrhea,Diarrhea symptom,390,1
Dietetic diarrhea,Loose stool,390,1
Granuloma of intestine,Mass of digestive structure,220,0
Chronic idiopathic constipation,Constipation disorder,120,1
Chronic idiopathic constipation,Chronic constipation,10,0
Constipation by outlet obstruction,Constipation disorder,120,1
Drug-induced constipation,Constipation disorder,120,1
Chronic idiopathic anal pain,Anal pain finding,20,0
Enterospasm,Bowel spasm,40,0
Colonospasm disorder,Bowel spasm,40,0
Bilious vomiting following gastrointestinal surgery,Finding of vomiting,160,1
Bilious vomiting following gastrointestinal surgery,Vomiting symptom,160,1
Bilious vomiting following gastrointestinal surgery,Postoperative vomiting,10,0
Tympanites of cecum,"Flatulence, eructation and gas pain",10,0
Osmotic diarrhea,Diarrhea symptom,390,1
Osmotic diarrhea,Loose stool,390,1
Osmotic diarrhea,Diarrhea due to ingestion of unabsorbable substances,20,0
Secretory diarrhea,Diarrhea symptom,390,1
Secretory diarrhea,Loose stool,390,1
Drug ANDOR toxin-induced diarrhea,Diarrhea symptom,390,1
Drug ANDOR toxin-induced diarrhea,Loose stool,390,1
Disorder of appendix,Appendiceal colic,20,0
Disorder of appendix,Appendicular colic,20,0
Idiopathic diffuse ulcerative nongranulomatous enteritis,Diffuse inflammation,110,0
Postcholecystectomy diarrhea,Diarrhea symptom,390,1
Postcholecystectomy diarrhea,Loose stool,390,1
Diarrhea due to alcohol intake,Diarrhea symptom,390,1
Diarrhea due to alcohol intake,Loose stool,390,1
Raw-milk associated diarrhea,Diarrhea symptom,390,1
Raw-milk associated diarrhea,Loose stool,390,1
Chronic diarrhea of infants ANDOR young children,Diarrhea symptom,390,1
Chronic diarrhea of infants ANDOR young children,Loose stool,390,1
Congenital secretory diarrhea,Diarrhea symptom,390,1
Congenital secretory diarrhea,Loose stool,390,1
"Congenital secretory diarrhea, chloride type",Diarrhea symptom,390,1
"Congenital secretory diarrhea, chloride type",Loose stool,390,1
"Congenital secretory diarrhea, sodium type",Diarrhea symptom,390,1
"Congenital secretory diarrhea, sodium type",Loose stool,390,1
Parasitic fibroid,Mass of body region,30,0
Liver cyst,Mass of digestive structure,220,0
Recurrent biliary colic,Recurrent abdominal pain,10,0
Semi-starvation,Starvation disorder,50,0
Hyposmolality,Coordination problem,120,0
Hypotonic disorder,Coordination problem,120,0
Disorder of acid-base balance,Hypercapnia disorder,50,1
Disorder of acid-base balance,Hypocapnia disorder,20,0
Starvation ketoacidosis,Starvation disorder,50,0
Hypercapnia with mixed acid-base disorder,Hypercapnia disorder,50,1
Normosomatic sialidosis,Myoclonic disorder,290,1
Disorder of bilirubin metabolism,Hepatocellular jaundice,40,0
Acute cholestatic jaundice syndrome,DJaundice not of newborn,50,1
Acute cholestatic jaundice syndrome,DJaundice not of newborn NOS,50,0
Chronic cholestatic jaundice syndrome,DJaundice not of newborn,50,1
Chronic cholestatic jaundice syndrome,DJaundice not of newborn NOS,50,0
Cholestasis of pregnancy disorder,Pruritus of pregnancy,20,0
"Corneal fragility keratoglobus, blue sclerae AND joint hypermobility",Scleral discoloration,30,0
Dipsogenic diabetes insipidus,Polyuric state,30,0
Urethral cyst,Mass of urinary system structure,30,0
Disorder of scrotum,Burning scrotum,40,1
Disorder of scrotum,Scrotal pruritus,30,0
Infertility due to complete spermatogenic arrest,Complete spermatogenic arrest,20,0
Infertility due to incomplete spermatogenic arrest,Incomplete spermatogenic arrest,20,0
Essential vulvodynia,Pain finding,1360,1
Idiopathic vulvodynia,Pain finding,1360,1
Endometriotic cyst,Pain finding,1360,1
Endometrial cyst of ovary,Pain finding,1360,1
Implanted endometriosis,Pain finding,1360,1
Deciduomatosis,Pain finding,1360,1
Endosalpingiosis,Pain finding,1360,1
Endometriosis of cervix,Pain finding,1360,1
Endometriosis of parametrium,Pain finding,1360,1
Endometriosis of broad ligament,Pain finding,1360,1
Endometriosis of round ligament,Pain finding,1360,1
Endometriosis of the cul-de-sac,Pain finding,1360,1
Endometriosis of rectovaginal septum,Pain finding,1360,1
Endometriosis of vagina,Pain finding,1360,1
Endometriosis of vulva,Pain finding,1360,1
Endometriosis of appendix,Pain finding,1360,1
Endometriosis of colon,Pain finding,1360,1
Endometriosis of rectum,Pain finding,1360,1
Endometriosis of bladder,Pain finding,1360,1
Endometriosis of lung,Pain finding,1360,1
Endometriosis of umbilicus,Pain finding,1360,1
Endometriosis of umbilicus,Disorder of umbilicus,120,0
Noninflammatory disorder of the female genital organs,Vulvovaginal dryness,10,0
Cyst of fallopian tube,Mass of uterine adnexa,30,0
Cyst of broad ligament,Mass of uterine adnexa,30,0
Cyst of uterus,Mass of female genital structure,70,0
Cyst of vulva,Perineal lump finding,60,1
Cyst of vulva,Mass of female genital structure,70,0
Induration of breast,Other signs and symptoms in breast,20,0
Oliguria following molar ANDOR ectopic pregnancy,Oliguria finding,20,0
Eclampsia added to pre-existing hypertension,Seizure,1690,1
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Hyperemesis gravidarum,60,1
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Finding of vomiting,160,1
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Vomiting symptom,160,1
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Hyperemesis gravidarum,60,1
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Finding of vomiting,160,1
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Vomiting symptom,160,1
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Hyperemesis gravidarum,60,1
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Finding of vomiting,160,1
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Vomiting symptom,160,1
Vomiting due to organic disease during pregnancy,Finding of vomiting,160,1
Vomiting due to organic disease during pregnancy,Vomiting symptom,160,1
Dyscoordinate labor,"Uterine incoordination, first degree",10,0
Disorder of breast associated with childbirth,Vascular engorgement of breast,10,0
Perinatal cyanotic attacks,Cyanosis of skin,60,1
Perinatal cyanotic attacks,Neonatal cyanosis,20,0
Perinatal respiratory distress,Respiratory distress finding,30,0
"Fetal and neonatal jaundice, unspecified",Newborn physiological jaundice disorder,80,0
Fetal ANDOR neonatal jaundice,Newborn physiological jaundice disorder,80,0
Unspecified fetal or neonatal jaundice NOS,Newborn physiological jaundice disorder,80,0
Lucey-Driscoll syndrome,Newborn physiological jaundice disorder,80,0
Perinatal jaundice from causes classified elsewhere,Newborn physiological jaundice disorder,80,0
Diurnal only enuresis,DEnuresis NOS,30,1
Diurnal only enuresis,Enuresis & bedwetting,30,1
Diurnal only enuresis,DEnuresis,30,1
Diurnal only enuresis,Enuresis D,30,0
Hypothermia-sweating syndrome,DOther general symptoms NOS,30,1
Hypothermia-sweating syndrome,DOther general symptoms,30,0
Aphasia-left parietal lobe syndrome,Other and unspecified symbolic dysfunctions,60,1
Aphasia-left parietal lobe syndrome,DOther symbolic dysfunction,60,0
Essential tremor,Static tremor,20,0
Familial essential myoclonus,Myoclonic disorder,290,1
Double athetosis,Athetoid movement,80,1
Sanger-Brown cerebellar ataxia,Cerebellar ataxia,110,0
Nothnagels syndrome,Cerebellar ataxia,110,0
Posthemiplegic athetosis,Athetoid movement,80,1
Athetosis with rigidity,Athetoid movement,80,1
Athetosis with spastic paraplegia,Athetoid movement,80,1
Paralytic syndrome,Paraparesis disorder,20,0
Paralytic syndromes,Paraparesis disorder,20,0
Facial hemiplegia,Hemiplegia disorder,110,0
Facial hemiparesis,Unilateral facial paresis,10,0
Hemiplegic cerebral palsy disorder,Hemiplegia disorder,110,0
Lethal neonatal spasticity,Spasticity,20,0
Spastic syndrome disorder,Spastic dysphonia,40,0
Cursive seizure,Seizure,1690,1
Cursive running epilepsy,Seizure,1690,1
Cursive seizure,Partial seizure,220,0
Cursive running epilepsy,Partial seizure,220,0
Gelastic seizure,Seizure,1690,1
Gelastic seizure,Partial seizure,220,0
Retropulsion petit mal,Seizure,1690,1
Centrencephalic epilepsy,Seizure,1690,1
Centrencephalic epilepsy,Partial seizure,220,0
Petit mal status disorder,Seizure,1690,1
Visual epilepsy,Seizure,1690,1
Visceral epilepsy,Seizure,1690,1
Visceral epilepsy,Partial seizure,220,0
Unclassified epileptic seizures,Seizure,1690,1
Simple partial seizure with somatosensory or special sensory dysfunction,Seizure,1690,1
Simple partial seizure with special sensory symptoms,Seizure,1690,1
Epileptic automatism,Seizure,1690,1
Secondarily generalized seizures,Tonic-clonic seizure,20,1
Secondarily generalized seizures,Grand mal seizure,20,0
Atonic seizure,Seizure,1690,1
Epileptic drop attack,Seizure,1690,1
Benign focal epilepsy of childhood,Seizure,1690,1
Benign focal epilepsy of childhood,Partial seizure,220,0
Extratemporal epilepsy,Seizure,1690,1
Extratemporal epilepsy,Partial seizure,220,0
Idiopathic generalized epilepsy disorder,Seizure,1690,1
Benign neonatal convulsions,Seizure,1690,1
Juvenile myoclonic epilepsy,Seizure,1690,1
Symptomatic generalized epilepsy,Seizure,1690,1
Early myoclonic encephalopathy disorder,Myoclonic disorder,290,1
Reflex epilepsy,Seizure,1690,1
Abdominal migraine,Abdominal migraine - symptom,10,0
Lower half migraine,Headache finding,590,1
Basilar migraine,Headache finding,590,1
Basilar migraine,Subjective vertigo,120,1
Retinal migraine,Headache finding,590,1
Hemiplegic migraine,Headache finding,590,1
Facial myokymia,Myokymia finding,10,0
Alternating hypoglossal hemiplegia,Hemiplegia disorder,110,0
Hypoglossal-pyramid syndrome,Hemiplegia disorder,110,0
Myotonia acquisita,Spasm finding,100,1
Juvenile cerebellar degeneration AND myoclonus,Myoclonic disorder,290,1
Ill-defined disorder of eye,Red eye,20,0
Pseudocyst of retina,Mass of eye structure,70,1
Pseudocyst of retina,Swelling of structure of eye,70,0
Concentric fading of visual field,Subjective visual disturbance,70,1
Refractive polyopia,Monocular diplopia,20,0
Impairment level of both eyes,Impairment level: low vision of both eyes,50,1
Impairment level of both eyes,"Low vision, both eyes",50,0
Blindness of one eye,Painful blind eye,20,0
Corneal anesthesia finding,Absence of sensation finding,20,0
Acquired blepharophimosis,Narrowing of palpebral fissure,10,0
Pendular nystagmus,Oculopalatal myoclonus,20,0
Vitreous liquifaction disorder,Vitreous cavitation,10,0
Diffuse otitis externa,Diffuse inflammation,110,0
Vertiginous syndrome,Subjective vertigo,120,1
Vertiginous syndrome,Multisensory dizziness,20,1
Vertiginous syndrome,Vertigo preceded by head injury,10,0
Vertiginous syndrome,Drug-induced vertigo,10,0
Diffuse labyrinthitis,Diffuse inflammation,110,0
Disharmonic diplacusis,Diplacusis,20,0
Echo diplacusis,Diplacusis,20,0
Recruitment,Loudness recruitment,20,0
Isosexual virilization,Virilization finding,50,0
Adult myxedema,Hard edema,50,0
Anemia due to starvation,Starvation disorder,50,0
Hemoglobinopathy with cyanosis,Cyanosis of skin,60,1
Hemoglobinopathy with cyanosis,Central cyanosis disorder,20,0
Stokvis disease,Cyanosis of skin,60,1
Cold erythema associated with cryoglobulin,Erythema of skin,890,1
Cold erythema associated with cryoglobulin,Erythematous condition,890,1
Cold erythema associated with cold agglutinins,Erythema of skin,890,1
Cold erythema associated with cold agglutinins,Erythematous condition,890,1
Cold erythema associated with hemolysins,Erythema of skin,890,1
Cold erythema associated with hemolysins,Erythematous condition,890,1
Tonsillar tag,Mass of respiratory structure,110,1
Tonsillar tag,Mass of digestive structure,220,0
Splenic cyst,Mass of lymphoreticular structure,50,0
Urticarial reaction to blood product,Immune complex urticaria,70,0
Urticarial transfusion reaction,Immune complex urticaria,70,0
Enanthematous infectious disease,Mucous membrane eruption,10,0
Pintid,Macule morphologic abnormality,50,0
Erythematous plaques of pinta,Erythema of skin,890,1
Erythematous pinta plaque,Erythema of skin,890,1
Erythematous plaques of pinta,Erythematous condition,890,1
Erythematous pinta plaque,Erythematous condition,890,1
Vitiligo of pinta,Achromia of skin disorder,40,0
Syphilitic gumma of central nervous system,Gummatous inflammation morphologic abnormality,80,0
Bovine winter dysentery,Diarrhea symptom,390,1
Bovine coronoviral diarrhea,Diarrhea symptom,390,1
Bovine winter dysentery,Loose stool,390,1
Bovine coronoviral diarrhea,Loose stool,390,1
Yaws gumma of bone,Gummatous inflammation morphologic abnormality,80,0
Gummatous osteitis of yaws,Gummatous inflammation morphologic abnormality,80,0
Gummatous periostitis of yaws,Gummatous inflammation morphologic abnormality,80,0
Juxta-articular yaws nodules,Mass of musculoskeletal structure,100,0
Neonatal calf diarrhea,Diarrhea symptom,390,1
Neonatal calf diarrhea,Loose stool,390,1
Epidemic diarrheal disease of infant mouse disorder,Diarrhea symptom,390,1
Epidemic diarrheal disease of infant mouse disorder,Loose stool,390,1
Coronaviral calf diarrhea,Diarrhea symptom,390,1
Coronaviral calf diarrhea,Loose stool,390,1
Dyspnea associated with AIDS,Difficulty breathing,20,0
AIDS with fatigue,Fatigue associated with AIDS,20,0
AIDS with hepatomegaly,Hepatomegaly associated with AIDS,20,0
AIDS with malaise,Malaise associated with AIDS,20,0
Coccidioidomycosis with erythema multiforme,Erythema of skin,890,1
Coccidioidomycosis with erythema multiforme,Erythematous condition,890,1
Cutaneous sporotrichosis,Sporotrichotic chancre,30,0
Epidemic cervical myalgia,Pain finding,1360,1
Dysenteric diarrhea,Diarrhea symptom,390,1
Dysenteric diarrhea,Loose stool,390,1
Epidemic diarrhea,Diarrhea symptom,390,1
Epidemic diarrhea,Loose stool,390,1
Travelers diarrhea,Diarrhea symptom,390,1
Travelers diarrhea,Loose stool,390,1
Bradylalia,DOther speech disturbance NOS,130,1
Bradylalia,DOther speech disturbance,130,0
Crossed hemiplegia,Hemiplegia disorder,110,0
Alternating hemiplegia,Hemiplegia disorder,110,0
Cerebral hemiplegia,Hemiplegia disorder,110,0
Spinal hemiplegia,Hemiplegia disorder,110,0
Crossed reflex,Crossed extensor reflex,10,0
Static ataxia,Ataxia finding,30,0
Static ataxia,Coordination problem,120,0
Long atonic seizure,Seizure,1690,1
Akinetic seizure without atonia,Seizure,1690,1
Visual seizure,Seizure,1690,1
Visual seizure,Partial seizure,220,0
Pattern sensitive seizure,Seizure,1690,1
Gustatory seizure,Seizure,1690,1
Gustatory seizure,Partial seizure,220,0
Reading seizure,Seizure,1690,1
Movement partial seizure,Seizure,1690,1
Startle partial seizure,Seizure,1690,1
Abdominal seizure,Seizure,1690,1
Musicogenic seizure,Seizure,1690,1
Partial seizure with impaired consciousness,Seizure,1690,1
Partial seizure with impaired consciousness,Partial seizure,220,0
Ideational partial seizure,Seizure,1690,1
Partial seizure with illusions and hallucinations,Seizure,1690,1
Partial seizure with illusions and hallucinations,Partial seizure,220,0
Partial seizure with multiple symptoms,Seizure,1690,1
Partial seizure with multiple symptoms,Partial seizure,220,0
Muscular asthenopia,Visual discomfort,30,0
Nervous asthenopia,Visual discomfort,30,0
Swelling of skeletal muscle,Swelling of limb finding,10,0
Swelling of skeletal muscle,Swelling of musculoskeletal structure,10,0
Actinic reticuloid disorder,Persistent light reaction,30,0
Idiopathic livedo reticularis with systemic involvement,Pale complexion,80,0
Hypersensitivity reaction mediated by immune complex,Immune complex urticaria,70,0
Hypersensitivity reaction mediated by immune complex,Urticarial vasculitis disorder,70,0
Alcohol hallucinosis,Alcohol induced hallucinations,10,0
Alcohol withdrawal hallucinosis,Alcohol induced hallucinations,10,0
Chronic vascular insufficiency of intestine,Abdominal angina,30,1
Chronic vascular insufficiency of intestine,Intestinal angina,30,0
Hill diarrhea,Diarrhea symptom,390,1
Hill diarrhea,Loose stool,390,1
Post-vagotomy syndrome,Diarrhea symptom,390,1
Post-vagotomy diarrhea,Diarrhea symptom,390,1
Post-vagotomy syndrome,Loose stool,390,1
Post-vagotomy diarrhea,Loose stool,390,1
External endometriosis disorder,Pain finding,1360,1
Generalized-onset seizures,Seizure,1690,1
Generalized-onset seizures,Tonic seizure,10,0
Grand mal status,Seizure,1690,1
Lymphoid hyperplasia,Persistent light reaction,30,0
Acute cerebellar ataxia due to varicella,Cerebellar ataxia,110,0
Non-Alzheimers progressive dysphasia,DOther speech disturbance NOS,130,1
Non-Alzheimers progressive dysphasia,DOther speech disturbance,130,0
Sandifer syndrome disorder,Wry necktorticollis,50,1
Idiopathic myoclonic epilepsy,Seizure,1690,1
Cryptogenic myoclonic epilepsy,Seizure,1690,1
Symptomatic myoclonic epilepsy,Seizure,1690,1
Migraine without aura,Headache finding,590,1
Ophthalmic migraine,Headache finding,590,1
Migraine with prolonged aura,Headache finding,590,1
Complicated migraine,Headache finding,590,1
Familial hemiplegic migraine,Headache finding,590,1
Non-familial hemiplegic migraine,Headache finding,590,1
Migraine aura without headache,Headache finding,590,1
Status migrainosus,Headache finding,590,1
Migraine with ischemic complication,Headache finding,590,1
Congenital nuclear ophthalmoplegia,Ophthalmoplegia disorder,110,1
Superior laryngeal neuralgia,Pain finding,1360,1
Intercostal post-herpetic neuralgia,Pain finding,1360,1
Psychogenic genitourinary tract symptoms,Psychic dysuria,10,0
Diffuse stromal keratoconjunctivitis,Diffuse inflammation,110,0
Diabetic maculopathy,OE - right eye diabetic maculopathy,20,1
Diabetic maculopathy,OE - left eye diabetic maculopathy,20,0
Preproliferative diabetic retinopathy disorder,OE - right eye preproliferative diabetic retinopathy,30,1
Preproliferative diabetic retinopathy disorder,OE - left eye preproliferative diabetic retinopathy,20,0
Anomaly of vergence system,Anomaly of divergence,20,0
Relative afferent pupil defect finding,Abnormal reflex,30,0
Partial sight - both eyes,Impairment level: low vision of both eyes,50,1
Partial sight - both eyes,"Low vision, both eyes",50,0
"Better eye: severe visual impairment, Lesser eye: low vision unspecified",Impairment level: low vision of both eyes,50,1
"Better eye: severe visual impairment, Lesser eye: low vision unspecified","Low vision, both eyes",50,0
Cyst of nasal cavity,Mass of respiratory structure,110,1
Nasal septal hematoma,Mass of respiratory structure,110,1
Endometriosis of pleura,Pain finding,1360,1
